SKU,Deliverable Unit,Description,UPC,OrderQty
4002472,T040234 / 045257,CPVC CPLNG S40 1/2"SOC,611942049943,25.
4003356,041273,PIPE BLACK T&C 1/2"X21',786692700410,1.
4003398,041273,PIPE BLACK T&C 1"X21',786692700441,1.
4004214,T040234 / 045257,NIPPLE BLACK 1/2"X3.5",690291041495,2.
40088,T040234 / 045257,DUAL THREAD AERATOR ACE,082901400882,1.
4011979,T040232 / 045257,CEMENT RAIN-R-SHINE 4OZ,038753308906,1.
40289,T040234 / 045257,STRAINER BSKT 2.25" ACE,082901402893,1.
4033593,T040232 / 045257,CLAMP HALF1/2"W/NAIL10PK,739236200747,1.
4039426,T040232 / 045257,CEMENT ALL PURPOSE 4OZ,038753308180,2.
40395,T040236 / 045257,BALLCOCK ADJ 9-14",039961000026,5.
40409,T040232 / 045257,FLOAT ROD 10" BRASS,082901404095,1.
4068011,T040233 / 045257,SQUARE HEAD PLUG 2"BLACK,032888406865,2.
4092672,T040236 / 045257,PEX ADAPTER 3/4B3/4MPT,697285605138,2.
4092805,T040234 / 045257,PEX TEE 3/4B3/4B3/4B,697285919914,2.
4094298,T040236 / 045257,TOOL FIN A/C WINDOW 6X1",610635009011,1.
41168,T040234 / 045257,MALE CONNCTR 3/8X1/2BRS,094913983512,10.
41170,T040234 / 045257,MALE CNNCTR 1/2X3/8"BRS,094913983482,4.
41607,T040234 / 045257,NIPPLE GALV 1/2"X4.5",690291046810,1.
41610,T040236 / 045257,NIPPLE GALV 1/2"X6",690291046841,1.
4163549,T040234 / 045257,UNIVERSAL TAILPIECE 1.5,082901054832,1.
4164505,T040233 / 045257,DRYER VENT DUCT 4"X20FT,082901089575,1.
4164778,T040233 / 045257,SHOWERHEAD CARTRG WHR140,033663006201,1.
4164885,T040232 / 045257,FLANGE TOILET REPAIR KIT,082901054986,2.
41689,T040234 / 045257,NIPPLE BLACK 1/2" X 1.5",690291041457,2.
4171294,T040237 / 045257,TOILET TANK REPR COMPLT,039961341365,3.
41774,T040232 / 045257,TEE INSERT POLY 3/4",025528106348,1.
41843,T040232 / 045257,CHAIN & HOOK FLAPPER8.5",082901418436,1.
41915,T040232 / 045257,CLAMP HOSE1/4"TO 5/8"SS,020637263586,20.
4192472,T040236 / 045257,HAIR SNAKE DRAIN OPENER,088712001300,1.
4201034,T040233 / 045257,RING FLANGE TOILET RPLC,082901110538,2.
4201448,T040232 / 045257,SWNG CHCK VLV 1-1/2",082901149514,1.
4223376,T040232 / 045257,TAILPIECE1-1/2X6 WHITE,082901164715,1.
4223384,T040232 / 045257,SLIP TEE 3WAY1-1/2WHITE,082901164746,2.
42350,T040232 / 045257,ACE THRMOSTAT MECH HEAT,082901423508,1.
42553,T040233 / 045257,INCREASR LG CR BLK24G6X8,063467230137,1.
42643,T040242 / 045257,COUPLE 3"DWV X3"SCH40HXH,611942031917,2.
4267530,T040236 / 045257,S+GASCN1/2ID1/2M1/2F24,026613167336,2.
4273835,T040234 / 045257,SHARKBITE DEPTH GAUGE,697285914629,1.
4304333,041154,HYDRANT BURY LEAD FREE 3,088409029037,2.
43050,T040232 / 045257,BOLT SET TOILET5/16X3"BR,082901430506,1.
43084,T040232 / 045257,STEM UNIT DELTA RP1740,034449017404,1.
4308995,T040232 / 045257,ADD-A-TEE3/8 X3/8X1/4LF,082901246671,1.
4309464,T040232 / 045257,DUALVALVE QT 1/2X3/8X3/8,082901246855,1.
4309563,T040232 / 045257,QTVALV1/2FIPX3/8ODANGLF,082901246954,1.
4309621,T040232 / 045257,QTVALV3/8FIPX3/8ODSTRLF,082901247012,1.
4309795,T040232 / 045257,QT VLV5/8ODX1/4 ANG LF,082901247227,1.
43101,041273,PIPE PVC1.25X10'CLASS160,611942066483,1.
4315560,T040232 / 045257,TUBE VINYL1/2ID X 5/8OD,032888193840,2.
4315990,T040233 / 045257,PVC PIPE CELLCORE 3"X2',611942112753,1.
4319828,T040236 / 045257,COUPLE 1/2"PUSH BRS,697285465626,7.
4319877,T040234 / 045257,SHARKBITE CONN 1/2" M LF,697285465763,3.
4319919,T040234 / 045257,PUSH ELBOW 1/2" SB,697285465824,11.
4319950,T040234 / 045257,SHARKBITE CONN 1/2" F LF,697285465701,2.
4320149,T040234 / 045257,SHARKBITE ELBOW 3/4" LF,697285465848,3.
4320461,T040234 / 045257,SHARKBITE COUPLE 3/4" LF,697285465640,1.
4320511,T040234 / 045257,SB RED COUPLE 3/4X1/2 LF,697285465664,2.
4324018,T040235 / 045257,FAUCET LAV 2HDL CHR LL,034449652469,2.
4330007,T040233 / 045257,STDFRST FREE HYDRAT12"LF,690043465081,1.
4335212,T040234 / 045257,FAUCT SUPLY LINE SS 20",082901249474,10.
4336970,T040232 / 045257,BALL VLV 3/8"TH BRS FP,032888132917,1.
4339560,T040232 / 045257,SB BALL VALVE 1/2 LF,697285012578,7.
4339578,T040234 / 045257,SB BALL VALVE 3/4 LF,697285956520,2.
43403,040811,PLUMBERS PUTTY 14OZ,082901434030,24.
43429,T040232 / 045257,ACE ICEMAKER KIT,082901434290,1.
43456,T040236 / 045257,SPOUT DIVT FRONT CHROME,082901434566,1.
4363503,T040240 / 045257,PEX COMBO CRIMP TOOL,670750338908,1.
4366886,T039989 / 045257,DUCT TAPE CAMO DUCK 10YD,075353036273,1.
43823,T040232 / 045257,ICEMAKER HOOKUP KIT 15',082901438236,1.
4389854,T040234 / 045257,CARTRIDGE DELTA FAUCET,082901256625,1.
43911,T040232 / 045257,CLAMP 1/2 TO 1-1/4"SS,020637263609,10.
4395224,T040232 / 045257,GASKET TANK TO BOWL 3",046224036715,1.
4395273,T040233 / 045257,FLUSH VALVE AS ELJER 3",046224036630,2.
4395281,T040233 / 045257,FLUSH VALVE AMSTND CADET,046224036647,1.
4396255,T040234 / 045257,STRAIGHT VALV 1/2X3/8 LF,697285605756,7.
44143,T040236 / 045257,SWITCH PRESSURE 20-40PSI,047569006326,1.
44323,T040232 / 045257,WICK KEROSENE HEAT AW25,019944110256,2.
44929,T040232 / 045257,ASH SHOVEL BLACK 20",063467111467,1.
4495305,T040234 / 045257,AUGER PLASTIC 1/4" X 20',088712842002,1.
44979,T040232 / 045257,ELEMENT 4500W WATRHT240V,020363104603,4.
44983,T040232 / 045257,THERMOSTAT EL 120-160DEG,020363105662,1.
4500435,T040232 / 045257,WRENCH BASIN NUT1/4-3/8",017197038259,1.
4503546,T040236 / 045257,COMPRESSION CAP 3/8" LF,094913051914,10.
4504296,T040234 / 045257,BARB HOSE 1/2H1/2MPT  LF,094913072742,5.
4507836,T040233 / 045257,FAUCET LAUNDRY TRAYMOUNT,820633966661,1.
45111,T040234 / 045257,NIPPLE BLACK 1/2"X4",690291041501,5.
45116,T040236 / 045257,NIPPLE BLACK 3/4"X3",690291041723,1.
45391,T040232 / 045257,ELEMNT SCKETWRNCH 1-1/2",032888510210,1.
4539888,041392,TOILET JAZMIN RND 12" WH,7500051169402,2.
45411,040812,CHIMNEY ROD BROWN 48",022624106241,2.
45478,T040236 / 045257,SEAL KIT #SD3-K4,082901454786,3.
4548053,T040237 / 045257,LAV FAUCET 2H CH W/PU OB,843518073544,2.
45502,T040234 / 045257,ACE DELTA CARTRDGE3S-2HC,082901455028,3.
4567186,041154,PIPE PEX 1/2 X 5 RED,697285250055,1.
4567277,041154,PIPE PEX 1/2X100 BLUE,697285241008,1.
4567640,041154,PIPE PEX 1/2 X 5 WHITE,697285260054,1.
4567723,041154,PIPE PEX 3/4 X 5 WHITE,697285360051,1.
4568424,T040234 / 045257,PEX TESTPLUG 3/4BARB,697285919938,2.
45710,T040234 / 045257,COUPL INSRT POLY 3/4X1/2,025528105594,2.
45712,T040233 / 045257,ADAPTR NYLON 1/2"PLXMPT,038561354065,2.
45718,T040232 / 045257,COUPLE NYLON 3/4" PLXPL,038561351088,2.
4594289,L041155,BATH WALL SET 58X60X27.5,720416002602,1.
4595518,T040234 / 045257,STRAIGHT VALVE 1/2"X3/8",697285604803,1.
4595534,040811,GORILLA TAPE WHITE 30YD,052427602503,2.
4599205,T040234 / 045257,WASH MACHINE HOSE 4',708289267533,2.
46346,040812,STREET KEY 5/8" OD X 36",032888364752,4.
46632,T040232 / 045257,GASKT ROPE FBGLS 0.6X60",022624000921,2.
4693081,T040232 / 045257,ACE DIGITAL 7D 5/2 THERMOSTAT,082901280132,1.
4693354,T040232 / 045257,TRANSITION FITTING 3/4",820633966456,4.
4694071,T040232 / 045257,TRANSITION FITTING 1/2"F,820633966463,4.
47653,040811,PIPE GALV 30GA 6X24",063467120506,10.
4766077,040812,AIR FLTR TRION 20X25X5,078757009362,3.
47670,T040233 / 045257,FURNACE PIPE RDC 5"X6",063467121794,2.
47672,T040233 / 045257,FURNACE PIPE RDC 6"X8",063467121817,2.
47795,T040232 / 045257,CAPS GLV 1",032888405677,5.
4808853,T040236 / 045257,ADPT 1/4"PUSHX1/4"MIP,697285254138,2.
4808861,T040234 / 045257,PUSH COUPLING5/16"X5/16",697285254237,1.
4808911,T040236 / 045257,PUSH COUPLING 1/4"X1/4",697285254213,3.
4808929,T040234 / 045257,PUSH COUPLING 5/16"X1/4",697285254220,1.
4808978,T040236 / 045257,PUSH COUPLING 3/8"X1/4",697285254244,2.
4809083,T040236 / 045257,PUSH TEE 3/8 X 3/8X 3/8",697285254282,9.
4809091,T040234 / 045257,PUSH TEE 1/4 X 1/4 X1/4",697285254275,4.
4809158,T040236 / 045257,PUSH STRGHT VLV 1/4X1/4",697285254374,1.
4811428,T039989 / 045257,DRAIN OPENER PACS 3PK,860468000109,1.
48371,T040235 / 045257,FAUCT TUB&SHOWER1H CHRM,843518013359,1.
48372,T040234 / 045257,FAUCT T&S CHR 2H  ACRYLC,843518013342,5.
48372,T040235 / 045257,FAUCT T&S CHR 2H  ACRYLC,843518013342,5.
48392,T040241 / 045257,BRUSH CHIMNEY POLY 6"RND,022624169062,1.
48552,T040232 / 045257,DRYER VENT DUCT4"X8FT AL,082901485520,1.
48580,040811,PUMP SUMP 1/2HP ACE,082901485803,2.
48650,T040233 / 045257,FURNACE INCREASER 6"X8",063467125297,1.
4870911,T040232 / 045257,COUPLE FLEX 4"X4" CLAY,018578000162,2.
4882254,T040234 / 045257,QC CNNECTOR 1/2X3/4"CTS,697285256521,1.
4882528,T040234 / 045257,UNION ELBOW 3/8"CTS,697285256286,3.
4882619,T040234 / 045257,FEMALE CNNCTR 1/2X1/2",697285256309,3.
4893277,040811,DYNA BF HEATER 20K BTU,872076037873,1.
49013,T040236 / 045257,NIPPLE 1/2"X2"RBRS,094913801793,1.
4903688,T040236 / 045257,QC STOP VALVE 1/2"CTS,697285256323,3.
4929568,T040236 / 045257,THERMCOUPLE REPLCMNT,872076020882,1.
4929584,040811,WALL HEATER BASE LEGS,872076001577,1.
49449,T040236 / 045257,SWITCH PRESSURE 30-50PSI,047569807855,1.
49782,T040232 / 045257,CLEANER ALL PURPOSE 4OZ,038753307794,2.
49806,T040232 / 045257,PRIMER PVC PURPLE 4OZ,038753307558,2.
49822,T040232 / 045257,ACE PIPE BRUSH 4IN1,082901498223,1.
5006036,T040635 / 045257,VELCRO STRIP 4" BLACK,075967900755,6.
5018889,T040636 / 045257,DOUBLE HOOK BN 4LB,638060081068,1.
5021937,T040635 / 045257,DECK SCREW 10X3" GRN 5#,038902064929,1.
5021960,T040635 / 045257,DCK SCREW 10X3" GRN 1#,038902064905,1.
5034277,T040636 / 045257,HWH DRL SCR 12-14X3/4,008236127256,1.
50671,T040636 / 045257,STRIKE BOX SECUR BRS,049793095398,1.
5095021,040986,TUBE SAND QUIKRETE 60#,039645115961,5.
5095849,T039989 / 045257,HOOK LARGE HOLDS 5LBS 3M,051131651425,4.
51001,040812,POST MAILBX WILLMBRG 60",046462121013,1.
5114475,T040232 / 045257,PULL CAB4-15/16X3/4PBWI,039257245834,5.
51218,T040636 / 045257,GLID ENAILON CRPT 1" CD4,082901512189,2.
51321,041154,FILM POLY CLR4MIL 4X100',070052002444,1.
51516,T040635 / 045257,HOOK CEIL ZNC 1-5/16CD10,082901135265,5.
5158373,T040636 / 045257,LOCK STORERM LEVR US26D,737874248640,1.
51602,T040636 / 045257,BOLT EYE LAG 5/16"X4",039208212359,10.
5173604,T040635 / 045257,SCREW DW PH CS6X1-1/4 1#,082901126805,2.
5173646,T040635 / 045257,SCREW DW PH CS6X1-5/8 1#,082901126812,1.
5173679,T040635 / 045257,SCREW DW PH CS8X2-1/2 1#,082901126997,4.
5190947,T040636 / 045257,LOCK ENTRY BALL US32D,737874656421,1.
5193388,T040635 / 045257,ACE ROOF CAP NAIL 1" 1#,082901197669,1.
5193396,T040635 / 045257,ACE ROOF CAP NAIL 1.5"1#,082901197690,1.
52107,040812,THREAD ROD STL 3/8X36",053538103095,5.
52114,041154,THREAD ROD STL 3/8X72",053538106065,5.
5214812,T040636 / 045257,SPRING ASST COMPR&EXT,049793999016,1.
52625,T040636 / 045257,LINK CHAIN QUICK 3/8" 10,020418269820,10.
5266176,040811,MAILBOX RURAL T1ELITE BL,046462002725,1.
52721,T040635 / 045257,PANEL NAIL1-5/8"ASH6OZ,008236435863,5.
5275235,T040636 / 045257,DEADLATCH STRIKE  BRS,049793023070,1.
5290739,T040635 / 045257,CORNER BRACE 6X1-1/8"AN,082901137726,5.
5292693,T040635 / 045257,SHELF BRACKET ORN10X7BLK,039208236256,6.
5302583,T040635 / 045257,CAM LOCK KA 3/4" CRM,082901147060,5.
5315452,T040636 / 045257,AIR COND WS 1-1/4"X42",043374020069,1.
5315478,T040636 / 045257,FOAM TAPE1/2X3/4X10' GRY,043374023114,2.
5325436,T040636 / 045257,SCR STAR H/L8X1-25SS 45P,082901190622,4.
5326087,T040636 / 045257,WALBOARD ANC KIT NYLON#8,008236429428,1.
5327143,T040636 / 045257,SCREW WD PH CS 6X2 50PC,082901189855,1.
5329388,T040636 / 045257,TRM SCRW SQ #6X2.25 50PC,082901190387,1.
5369616,040812,SAFETY GATE 26-42"X26"H,026107086150,1.
5404058,T040232 / 045257,ONE FLUSH SEPTIC ENERGZR,683431991026,1.
5426291,T040636 / 045257,PAD FELT 1.5" VALUE CD24,082901240495,1.
5432083,T040635 / 045257,CLOSER GR3 SZ2 ALUM,737874125422,1.
54487,T040636 / 045257,FELT BLNKT PAD4.25X6 2PK,082901544876,1.
5604848,040811,INSULATION R13KRFT15X32',047563706413,1.
56961,T040636 / 045257,FLAT WASHER SAE 5/16",008236155914,1.
57037,T040635 / 045257,HX BOLTS USS Z 3/8X3,008236074932,1.
57225,T040635 / 045257,HX LAG SCRW Z 5/16X3,008236085129,1.
57959,040812,SHELF MELATEX WHT12"X36",029274004354,1.
58082,T040636 / 045257,DOWNSPOUT"B"ELBOW2X3"WHT,049821270650,2.
